predictor,coeff_train,coeff_val
intercept,40.049167882698406,32.79321136778958
CONV_850,37843.888460583235,148084.71806205207
DIV_200,42821.403416682544,35915.81574542668
q_850,321.11947974374556,286.88457026086616
T_850,-0.15179819299583977,-0.1251439539992233
WSPD_700,0.003131724160052871,-0.0018113757184374847
CONV850_x_q850,7598467.005639552,-713934.0001166456
TEND_CONV850_6h,-82560.33721661418,-95889.79382330082
TEND_CONV850_12h,-29629.02197810539,-17551.5768173768
TEND_q850_6h,-84.35948552983805,-73.93952244372882
